#"Step"	"Time (ps)"	"Potential Energy (kJ/mole)"	"Temperature (K)"	"Density (g/mL)"	"Speed (ns/day)"	"Time Remaining"
271000	562.0000000005359	-363144.55494326924	301.59011877575057	1.0550648927068398	8.44	1:18:11
272000	564.0000000004886	-362584.236260437	299.6580488456007	1.0566767312742722	8.43	1:17:51
273000	566.0000000004413	-362644.5016688604	302.00283617908207	1.0588970702849247	8.43	1:17:32
274000	568.000000000394	-362493.4647964677	299.45818068917436	1.0560033095985981	8.43	1:17:13
275000	570.0000000003467	-362902.88581424125	303.3993169431325	1.0584684086539946	8.43	1:16:54
276000	572.0000000002995	-362095.76717310376	301.98034376494604	1.05971936204275	8.42	1:16:35
277000	574.0000000002522	-363167.6812929863	300.6008396918205	1.0580011689699351	8.42	1:16:15
278000	576.0000000002049	-362951.13331110124	301.6124679630811	1.062059838864534	8.42	1:15:56
279000	578.0000000001576	-363489.7852763684	300.30456293138855	1.0628020165553815	8.42	1:15:37
280000	580.0000000001103	-363720.34475160716	298.90172822844954	1.061541432607601	8.41	1:15:18
281000	582.000000000063	-363837.2290147321	296.6123337832594	1.0668229776282088	8.41	1:14:58
282000	584.0000000000157	-364225.7815977037	297.9961743871222	1.0656018378772991	8.41	1:14:39
283000	585.9999999999684	-362467.63274842186	299.9257838769566	1.0607776518123573	8.41	1:14:20
284000	587.9999999999211	-363326.4472703778	301.44856420592845	1.0617532331928259	8.41	1:14:00
285000	589.9999999998738	-362714.2656551599	299.6948187757913	1.0641642760619812	8.4	1:13:41
286000	591.9999999998265	-362625.89169815433	302.7404356367259	1.0609470764388718	8.4	1:13:21
287000	593.9999999997792	-362586.2568858246	301.8134514702958	1.0580401375562543	8.4	1:13:02
